Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
173 "GeneID173" 59 60 1 0
174 "GeneID174" 9 3 0 0
175 "GeneID175" 55419 44185 2497 2453
176 "GeneID176" 0 0 0 0
177 "GeneID177" 400 326 15 11
178 "GeneID178" 1045 563 27 42
179 "GeneID179" 2 5 0 0
180 "GeneID180" 1 0 0 0
181 "GeneID181" 445 413 17 11
182 "GeneID182" 0 0 0 0
183 "GeneID183" 3 2 0 0
184 "GeneID184" 225 172 10 18
185 "GeneID185" 46 35 3 0
186 "GeneID186" 103 95 0 2
187 "GeneID187" 39 36 5 12
188 "GeneID188" 158 125 7 9
189 "GeneID189" 87 29 1 0
190 "GeneID190" 8142 9100 917 1011
191 "GeneID191" 39 40 1 3
192 "GeneID192" 3967 3353 750 705
193 "GeneID193" 1 0 0 0
194 "GeneID194" 109 90 15 8
195 "GeneID195" 0 0 194 149
196 "GeneID196" 0 0 0 0
197 "GeneID197" 8 15 1 0
198 "GeneID198" 2 7 0 2
199 "GeneID199" 5 12 0 0
200 "GeneID200" 10 6 0 0
201 "GeneID201" 5 5 1 0
202 "GeneID202" 182 224 24 31
203 "GeneID203" 17 17 2 0
204 "GeneID204" 467 517 44 43
205 "GeneID205" 98 117 3 7
206 "GeneID206" 2 2 1 1
207 "GeneID207" 1 0 0 0
208 "GeneID208" 23 25 1 0
209 "GeneID209" 0 0 0 0
210 "GeneID210" 0 0 0 0
211 "GeneID211" 0 0 0 0
212 "GeneID212" 0 0 0 0
213 "GeneID213" 0 0 0 0
214 "GeneID214" 0 0 0 0
215 "GeneID215" 0 0 0 0
216 "GeneID216" 0 0 0 0
217 "GeneID217" 0 0 0 0
218 "GeneID218" 0 0 0 0
219 "GeneID219" 17 21 2 0
220 "GeneID220" 101 67 10 7
221 "GeneID221" 0 0 0 0
222 "GeneID222" 0 0 0 0
223 "GeneID223" 0 0 0 0
224 "GeneID224" 0 0 0 0
225 "GeneID225" 0 0 0 0
226 "GeneID226" 0 0 0 0
227 "GeneID227" 0 0 0 0
228 "GeneID228" 0 0 0 0
229 "GeneID229" 0 0 0 0
230 "GeneID230" 0 0 0 0
231 "GeneID231" 0 0 0 0
232 "GeneID232" 97 54 6 5
233 "GeneID233" 0 0 0 0
234 "GeneID234" 7 3 6 11
235 "GeneID235" 8 8 2 1
236 "GeneID236" 6624 7640 794 812
237 "GeneID237" 0 0 0 0
238 "GeneID238" 0 0 0 0
239 "GeneID239" 0 1 0 0
240 "GeneID240" 86 78 7 8
241 "GeneID241" 7 1 0 0
242 "GeneID242" 0 0 0 0
243 "GeneID243" 0 0 0 0
244 "GeneID244" 2 0 0 0
245 "GeneID245" 5 4 0 0
246 "GeneID246" 1 0 0 0
247 "GeneID247" 0 0 0 0
248 "GeneID248" 3 0 1 0
249 "GeneID249" 0 1 1 0
250 "GeneID250" 0 0 0 1
251 "GeneID251" 1 2 0 1
252 "GeneID252" 27 28 4 2
253 "GeneID253" 0 0 0 0
254 "GeneID254" 0 0 1 0
255 "GeneID255" 0 0 0 0
256 "GeneID256" 96 67 49 64
257 "GeneID257" 17 20 0 1
258 "GeneID258" 25 35 139 216
259 "GeneID259" 0 0 0 0
260 "GeneID260" 4 1 2 1
261 "GeneID261" 40 38 2 4
262 "GeneID262" 10 8 0 0
263 "GeneID263" 1 2 0 0
264 "GeneID264" 15 40 4 1
265 "GeneID265" 0 0 0 0
266 "GeneID266" 1 0 0 0
267 "GeneID267" 1 3 6 3
268 "GeneID268" 10 13 0 0
269 "GeneID269" 1 1 0 0
270 "GeneID270" 2 0 0 0
271 "GeneID271" 0 0 0 0
272 "GeneID272" 1 2 1 0
273 "GeneID273" 0 0 0 0
274 "GeneID274" 0 0 0 0
275 "GeneID275" 62 43 0 0
276 "GeneID276" 0 0 0 0
277 "GeneID277" 3 0 0 0
278 "GeneID278" 0 0 0 0
279 "GeneID279" 5 4 0 0
280 "GeneID280" 3 0 0 0
281 "GeneID281" 0 0 0 0
282 "GeneID282" 0 1 0 0
283 "GeneID283" 0 0 0 0
284 "GeneID284" 0 0 0 0
285 "GeneID285" 0 0 0 0
286 "GeneID286" 0 1 0 0
287 "GeneID287" 1 3 0 0
288 "GeneID288" 12 10 3 1
289 "GeneID289" 0 0 0 0
290 "GeneID290" 3 2 0 0
291 "GeneID291" 0 0 0 0
292 "GeneID292" 0 0 0 0
293 "GeneID293" 0 0 0 0
294 "GeneID294" 33 20 3 1
295 "GeneID295" 0 0 0 0
296 "GeneID296" 0 0 0 0
297 "GeneID297" 1 0 0 0
298 "GeneID298" 0 0 0 0
299 "GeneID299" 0 0 0 0
300 "GeneID300" 9 4 0 0
301 "GeneID301" 2 0 0 0
302 "GeneID302" 0 0 0 0
303 "GeneID303" 0 0 0 0
304 "GeneID304" 1 2 2 0
305 "GeneID305" 7 0 0 0
306 "GeneID306" 943 603 128 84
307 "GeneID307" 0 0 0 0
308 "GeneID308" 0 0 0 0
309 "GeneID309" 36 23 0 3
310 "GeneID310" 687 641 62 73
311 "GeneID311" 4 3 1 1
312 "GeneID312" 0 0 2 0
313 "GeneID313" 132 85 4 3
314 "GeneID314" 14 5 9 11
315 "GeneID315" 0 3 2 0
316 "GeneID316" 5 8 11 17
317 "GeneID317" 0 0 0 0
318 "GeneID318" 390 414 29 37
319 "GeneID319" 3 0 0 0
320 "GeneID320" 0 1 0 0
321 "GeneID321" 0 0 0 0
322 "GeneID322" 2502 2838 90 94
323 "GeneID323" 0 0 0 0
324 "GeneID324" 0 0 0 0
325 "GeneID325" 1 1 27 16
326 "GeneID326" 1 3 1 0
327 "GeneID327" 0 0 0 0
328 "GeneID328" 499 935 23 31
329 "GeneID329" 9 27 1 0
330 "GeneID330" 135 231 23 11
331 "GeneID331" 9 20 2 6
332 "GeneID332" 2089 4438 70 134
333 "GeneID333" 5 12 0 0
334 "GeneID334" 0 0 0 0
335 "GeneID335" 0 0 0 0
336 "GeneID336" 0 0 0 0
337 "GeneID337" 0 0 0 0
338 "GeneID338" 252 459 46 34
339 "GeneID339" 0 0 0 0
340 "GeneID340" 0 0 0 0
341 "GeneID341" 0 0 0 0
342 "GeneID342" 0 0 0 0
343 "GeneID343" 3 6 0 0
344 "GeneID344" 151 407 31 41
345 "GeneID345" 0 0 0 0
346 "GeneID346" 0 0 0 0
347 "GeneID347" 0 0 0 0
348 "GeneID348" 0 0 0 0
349 "GeneID349" 0 0 0 0
350 "GeneID350" 0 0 0 0
351 "GeneID351" 3 4 0 0
352 "GeneID352" 962 727 68 84
353 "GeneID353" 0 0 0 0
354 "GeneID354" 1 1 0 0
355 "GeneID355" 165 198 2 5
356 "GeneID356" 0 0 0 0
357 "GeneID357" 0 0 0 0
358 "GeneID358" 0 0 0 0
359 "GeneID359" 70 34 2 2
360 "GeneID360" 9 13 0 0
361 "GeneID361" 0 0 0 0
362 "GeneID362" 3 4 18 15
363 "GeneID363" 0 0 0 0
364 "GeneID364" 0 0 3 0
365 "GeneID365" 0 0 0 0
366 "GeneID366" 0 0 0 0
367 "GeneID367" 0 0 0 0
368 "GeneID368" 0 0 0 0
369 "GeneID369" 0 0 1 0
370 "GeneID370" 0 0 0 0
371 "GeneID371" 0 0 0 0
372 "GeneID372" 0 0 0 0
373 "GeneID373" 0 0 0 0
374 "GeneID374" 0 0 0 0
375 "GeneID375" 0 0 0 0
376 "GeneID376" 0 1 0 0
377 "GeneID377" 0 0 0 0
378 "GeneID378" 14 33 0 1
379 "GeneID379" 0 0 0 0
380 "GeneID380" 1 0 0 1
381 "GeneID381" 0 0 0 0
382 "GeneID382" 3 4 1 0
383 "GeneID383" 0 1 0 0
384 "GeneID384" 0 0 0 0
385 "GeneID385" 0 0 0 0
386 "GeneID386" 1 1 0 0
387 "GeneID387" 244 345 5 10
388 "GeneID388" 15055 21531 1706 2112
389 "GeneID389" 0 0 0 0
390 "GeneID390" 0 0 0 0
391 "GeneID391" 111 99 8 11
392 "GeneID392" 4 2 0 0
393 "GeneID393" 3426 3569 128 105
394 "GeneID394" 15 18 4 5
395 "GeneID395" 570 517 19 30
396 "GeneID396" 92 105 1 3
397 "GeneID397" 0 1 22 28
398 "GeneID398" 0 0 1 2
399 "GeneID399" 0 0 0 0
400 "GeneID400" 0 0 5 2
401 "GeneID401" 3946 3726 242 232
402 "GeneID402" 15 10 28 30
403 "GeneID403" 1385 1151 58 50
404 "GeneID404" 26 17 5 6
405 "GeneID405" 0 1 0 0
406 "GeneID406" 0 0 0 0
407 "GeneID407" 5949 4524 210 168
408 "GeneID408" 8897 9598 566 581
409 "GeneID409" 118 137 104 126
410 "GeneID410" 8 11 0 0
411 "GeneID411" 3 6 1 0
412 "GeneID412" 2138 2051 214 259
413 "GeneID413" 6 5 0 0
414 "GeneID414" 4875 6380 349 434
415 "GeneID415" 1471 1785 33 35
416 "GeneID416" 31 32 1 7
417 "GeneID417" 6968 7215 224 208
418 "GeneID418" 7 6 0 2
419 "GeneID419" 0 0 0 0
420 "GeneID420" 478 615 39 24
421 "GeneID421" 7 7 0 0
422 "GeneID422" 0 0 0 0
423 "GeneID423" 0 0 0 0
424 "GeneID424" 0 0 0 0
425 "GeneID425" 0 0 0 0
426 "GeneID426" 0 0 0 0
427 "GeneID427" 0 0 0 0
428 "GeneID428" 0 0 0 0
429 "GeneID429" 0 0 0 0
430 "GeneID430" 0 0 0 0
431 "GeneID431" 0 0 0 0
432 "GeneID432" 0 0 0 0
433 "GeneID433" 0 0 0 0
434 "GeneID434" 0 0 0 0
435 "GeneID435" 0 0 0 0
436 "GeneID436" 0 0 0 0
437 "GeneID437" 0 0 0 0
438 "GeneID438" 0 0 0 0
439 "GeneID439" 0 0 0 0
440 "GeneID440" 0 0 0 0
441 "GeneID441" 0 0 0 0
442 "GeneID442" 0 0 0 0
443 "GeneID443" 0 0 0 0
444 "GeneID444" 30 21 0 0
445 "GeneID445" 27 14 0 0
446 "GeneID446" 11 15 0 0
447 "GeneID447" 4 2 0 0
448 "GeneID448" 13 7 1 1
449 "GeneID449" 0 2 0 0
450 "GeneID450" 0 0 0 0
451 "GeneID451" 0 0 0 0
452 "GeneID452" 0 0 0 0
453 "GeneID453" 0 0 1 0
454 "GeneID454" 0 0 0 0
455 "GeneID455" 0 0 0 0
456 "GeneID456" 19967 26617 284 368
457 "GeneID457" 10 16 0 2
458 "GeneID458" 75 30 24 46
459 "GeneID459" 9 5 0 0
460 "GeneID460" 6148 6581 86 105
461 "GeneID461" 464 613 8 10
462 "GeneID462" 6 2 0 3
463 "GeneID463" 0 0 0 0
464 "GeneID464" 0 0 0 0
465 "GeneID465" 1765 2075 30 38
466 "GeneID466" 55 62 0 2
467 "GeneID467" 22 38 0 1
468 "GeneID468" 2 1 0 0
469 "GeneID469" 0 0 0 0
470 "GeneID470" 0 0 0 0
471 "GeneID471" 0 0 0 0
472 "GeneID472" 0 0 0 0
473 "GeneID473" 0 0 0 0
474 "GeneID474" 0 0 0 0
475 "GeneID475" 0 0 0 0
476 "GeneID476" 0 0 0 0
477 "GeneID477" 0 1 0 0
478 "GeneID478" 7 17 2 3
479 "GeneID479" 5 2 0 0
480 "GeneID480" 7 2 0 0
481 "GeneID481" 0 0 0 0
482 "GeneID482" 0 0 0 0
483 "GeneID483" 4 0 1 0
484 "GeneID484" 0 0 0 0
485 "GeneID485" 2 0 0 0
486 "GeneID486" 0 1 0 0
487 "GeneID487" 0 0 0 0
488 "GeneID488" 4 3 0 0
489 "GeneID489" 1 0 0 0
490 "GeneID490" 1 0 0 0
491 "GeneID491" 0 0 0 0
492 "GeneID492" 12 11 0 0
493 "GeneID493" 0 0 0 0
494 "GeneID494" 0 0 0 0
495 "GeneID495" 1 1 0 0
496 "GeneID496" 8 4 2 1
497 "GeneID497" 0 0 0 0
498 "GeneID498" 0 0 0 0
499 "GeneID499" 7 8 0 0
500 "GeneID500" 87 73 1 2
501 "GeneID501" 0 1 1 0
502 "GeneID502" 1 1 0 0
503 "GeneID503" 0 0 0 1
504 "GeneID504" 0 0 0 0
505 "GeneID505" 0 0 0 0
506 "GeneID506" 0 0 0 0
507 "GeneID507" 0 0 0 0
508 "GeneID508" 0 0 0 0
509 "GeneID509" 0 0 0 0
510 "GeneID510" 0 0 0 0
511 "GeneID511" 0 0 0 0
512 "GeneID512" 0 0 0 0
513 "GeneID513" 0 0 0 0
514 "GeneID514" 0 0 0 0
515 "GeneID515" 0 1 0 0
516 "GeneID516" 0 0 0 0
517 "GeneID517" 2 3 0 0
518 "GeneID518" 0 0 0 0
519 "GeneID519" 0 0 0 0
520 "GeneID520" 19 15 0 0
521 "GeneID521" 13 6 1 1
522 "GeneID522" 4 5 0 0
523 "GeneID523" 0 0 0 0
524 "GeneID524" 0 0 0 0
525 "GeneID525" 0 0 0 0
526 "GeneID526" 0 1 0 0
527 "GeneID527" 2 0 0 0
528 "GeneID528" 0 0 0 0
