Name "RNA4T1A" "RNA4T1B" "EV4T1A" "EV4T1B"
763 "GeneID763" 0 0 0 0
764 "GeneID764" 1 0 3 5
765 "GeneID765" 0 0 0 0
766 "GeneID766" 0 0 0 0
767 "GeneID767" 0 0 0 0
768 "GeneID768" 0 0 0 0
769 "GeneID769" 0 0 2 0
770 "GeneID770" 0 0 0 0
771 "GeneID771" 0 0 1 0
772 "GeneID772" 42 34 3 3
773 "GeneID773" 0 1 0 0
774 "GeneID774" 343 333 33 26
775 "GeneID775" 703 504 354 259
776 "GeneID776" 136 106 6 0
777 "GeneID777" 165 173 28 41
778 "GeneID778" 87 135 27 21
779 "GeneID779" 0 0 0 0
780 "GeneID780" 0 0 0 0
781 "GeneID781" 0 0 0 0
782 "GeneID782" 0 0 0 0
783 "GeneID783" 0 0 0 0
784 "GeneID784" 0 0 0 0
785 "GeneID785" 0 0 0 0
786 "GeneID786" 0 0 0 0
787 "GeneID787" 0 0 0 0
788 "GeneID788" 0 0 0 0
789 "GeneID789" 1 1 0 0
790 "GeneID790" 38 33 2 3
791 "GeneID791" 0 0 0 0
792 "GeneID792" 1 0 0 0
793 "GeneID793" 0 0 0 0
794 "GeneID794" 0 0 0 0
795 "GeneID795" 0 0 0 1
796 "GeneID796" 0 1 0 0
797 "GeneID797" 8 10 2 7
798 "GeneID798" 2 10 0 2
799 "GeneID799" 0 0 0 1
800 "GeneID800" 0 0 0 0
801 "GeneID801" 0 0 0 0
802 "GeneID802" 0 1 0 0
803 "GeneID803" 0 0 0 0
804 "GeneID804" 31 16 0 0
805 "GeneID805" 2 2 0 0
806 "GeneID806" 0 0 0 0
807 "GeneID807" 0 0 0 0
808 "GeneID808" 0 0 0 0
809 "GeneID809" 0 0 0 0
810 "GeneID810" 0 0 0 0
811 "GeneID811" 0 0 0 0
812 "GeneID812" 0 0 0 0
813 "GeneID813" 0 0 0 0
814 "GeneID814" 0 0 0 0
815 "GeneID815" 0 0 0 0
816 "GeneID816" 805 721 11 16
817 "GeneID817" 5 4 0 0
818 "GeneID818" 456 370 10 9
819 "GeneID819" 1 2 0 0
820 "GeneID820" 318 274 4 5
821 "GeneID821" 59 34 0 0
822 "GeneID822" 540 470 15 9
823 "GeneID823" 9 3 0 0
824 "GeneID824" 840 789 18 18
825 "GeneID825" 0 0 0 0
826 "GeneID826" 43 23 0 0
827 "GeneID827" 18 18 1 2
828 "GeneID828" 11 9 0 0
829 "GeneID829" 23 22 1 0
830 "GeneID830" 9 6 0 0
831 "GeneID831" 108 98 1 1
832 "GeneID832" 109 81 0 1
833 "GeneID833" 0 0 0 0
834 "GeneID834" 12 12 0 0
835 "GeneID835" 109 91 0 0
836 "GeneID836" 0 0 0 0
837 "GeneID837" 0 0 0 0
838 "GeneID838" 105 86 1 1
839 "GeneID839" 34 30 0 0
840 "GeneID840" 3 0 0 1
841 "GeneID841" 8 8 0 1
842 "GeneID842" 3 1 0 0
843 "GeneID843" 4 1 0 0
844 "GeneID844" 301 233 0 4
845 "GeneID845" 4 5 0 0
846 "GeneID846" 3 7 0 0
847 "GeneID847" 78 39 0 0
848 "GeneID848" 29 6 0 1
849 "GeneID849" 2 0 0 0
850 "GeneID850" 1 0 0 0
851 "GeneID851" 2 4 0 0
852 "GeneID852" 347 191 13 10
853 "GeneID853" 95 56 1 0
854 "GeneID854" 43 63 5 2
855 "GeneID855" 5 2 0 0
856 "GeneID856" 177 164 14 7
857 "GeneID857" 0 0 0 0
858 "GeneID858" 0 0 0 0
859 "GeneID859" 1 0 0 0
860 "GeneID860" 0 0 0 0
861 "GeneID861" 0 0 0 0
862 "GeneID862" 0 0 0 0
863 "GeneID863" 0 0 0 0
864 "GeneID864" 0 0 0 0
865 "GeneID865" 0 0 0 0
866 "GeneID866" 1 0 0 0
867 "GeneID867" 0 0 0 0
868 "GeneID868" 39 39 2 4
869 "GeneID869" 0 0 0 0
870 "GeneID870" 0 0 0 0
871 "GeneID871" 0 0 0 0
872 "GeneID872" 6 5 10 27
873 "GeneID873" 0 0 0 0
874 "GeneID874" 0 0 0 0
875 "GeneID875" 0 0 0 0
876 "GeneID876" 0 0 0 0
877 "GeneID877" 0 0 0 0
878 "GeneID878" 0 0 0 0
879 "GeneID879" 0 0 0 0
880 "GeneID880" 0 0 0 0
881 "GeneID881" 0 0 0 0
882 "GeneID882" 0 3 0 0
883 "GeneID883" 0 0 0 0
884 "GeneID884" 0 0 0 0
885 "GeneID885" 0 0 1 2
886 "GeneID886" 0 0 0 0
887 "GeneID887" 0 0 0 0
888 "GeneID888" 0 0 0 0
889 "GeneID889" 0 0 0 0
890 "GeneID890" 0 0 0 0
891 "GeneID891" 0 0 0 0
892 "GeneID892" 0 1 0 0
893 "GeneID893" 24 39 2 0
894 "GeneID894" 1 0 0 0
895 "GeneID895" 0 0 0 0
896 "GeneID896" 0 0 1 0
897 "GeneID897" 14 11 0 0
898 "GeneID898" 0 2 0 0
899 "GeneID899" 35 34 47 17
900 "GeneID900" 3 5 0 0
901 "GeneID901" 40 38 4 4
902 "GeneID902" 509 655 7 11
903 "GeneID903" 0 0 0 0
904 "GeneID904" 0 0 0 0
905 "GeneID905" 0 0 0 0
906 "GeneID906" 14 17 0 0
907 "GeneID907" 32 28 2 2
908 "GeneID908" 0 0 0 0
909 "GeneID909" 0 0 0 0
910 "GeneID910" 0 0 0 0
911 "GeneID911" 9 3 0 0
912 "GeneID912" 37 31 0 1
913 "GeneID913" 0 0 0 0
914 "GeneID914" 0 0 0 0
915 "GeneID915" 0 0 0 0
916 "GeneID916" 0 0 1 0
917 "GeneID917" 0 0 0 0
918 "GeneID918" 0 0 0 0
919 "GeneID919" 0 0 1 2
920 "GeneID920" 0 0 0 0
921 "GeneID921" 0 0 0 0
922 "GeneID922" 0 0 0 0
923 "GeneID923" 0 0 0 0
924 "GeneID924" 6 8 0 0
925 "GeneID925" 1 3 0 0
926 "GeneID926" 0 0 0 0
927 "GeneID927" 0 0 0 0
928 "GeneID928" 0 0 3 1
929 "GeneID929" 0 0 0 0
930 "GeneID930" 13 5 0 0
931 "GeneID931" 0 1 0 0
932 "GeneID932" 2 3 0 0
933 "GeneID933" 1 2 0 0
934 "GeneID934" 0 0 0 0
935 "GeneID935" 2 2 0 0
936 "GeneID936" 0 0 0 0
937 "GeneID937" 0 0 0 0
938 "GeneID938" 4 1 4 1
939 "GeneID939" 0 0 0 0
940 "GeneID940" 0 0 0 0
941 "GeneID941" 0 0 0 0
942 "GeneID942" 0 0 0 0
943 "GeneID943" 1 1 0 0
944 "GeneID944" 1 2 0 0
945 "GeneID945" 1 0 0 0
946 "GeneID946" 0 0 0 0
947 "GeneID947" 0 2 0 1
948 "GeneID948" 0 0 0 0
949 "GeneID949" 0 0 0 0
950 "GeneID950" 98 92 6 3
951 "GeneID951" 661 909 54 46
952 "GeneID952" 0 0 0 0
953 "GeneID953" 0 0 0 0
954 "GeneID954" 0 0 0 0
955 "GeneID955" 0 0 0 0
956 "GeneID956" 0 0 0 0
957 "GeneID957" 0 0 0 0
958 "GeneID958" 109 147 2 1
959 "GeneID959" 53 58 0 4
960 "GeneID960" 0 0 0 0
961 "GeneID961" 0 0 0 0
962 "GeneID962" 0 0 0 0
963 "GeneID963" 0 0 0 0
964 "GeneID964" 0 0 0 0
965 "GeneID965" 0 0 0 0
966 "GeneID966" 0 0 0 0
967 "GeneID967" 0 0 0 0
968 "GeneID968" 0 0 0 0
969 "GeneID969" 0 0 0 0
970 "GeneID970" 0 0 0 0
971 "GeneID971" 0 0 0 0
972 "GeneID972" 0 0 0 0
973 "GeneID973" 0 0 0 0
974 "GeneID974" 0 0 0 0
975 "GeneID975" 0 0 0 0
976 "GeneID976" 0 0 0 0
977 "GeneID977" 0 0 0 0
978 "GeneID978" 0 0 0 0
979 "GeneID979" 0 0 0 0
980 "GeneID980" 0 0 0 0
981 "GeneID981" 0 0 0 0
982 "GeneID982" 0 0 0 0
983 "GeneID983" 3 0 0 0
984 "GeneID984" 0 1 0 0
985 "GeneID985" 0 0 0 0
986 "GeneID986" 0 0 0 0
987 "GeneID987" 0 0 0 0
988 "GeneID988" 0 0 0 0
989 "GeneID989" 0 0 0 0
990 "GeneID990" 0 0 0 0
991 "GeneID991" 0 0 0 0
992 "GeneID992" 0 0 0 0
993 "GeneID993" 0 0 0 0
994 "GeneID994" 0 0 0 0
995 "GeneID995" 0 0 0 0
996 "GeneID996" 0 0 0 0
997 "GeneID997" 0 0 0 0
998 "GeneID998" 0 0 0 0
999 "GeneID999" 251 213 8 5
1000 "GeneID1000" 147 186 0 6
1001 "GeneID1001" 4 3 1 0
1002 "GeneID1002" 2 0 0 0
1003 "GeneID1003" 0 0 0 0
1004 "GeneID1004" 0 0 0 0
1005 "GeneID1005" 0 0 0 0
1006 "GeneID1006" 0 0 0 0
1007 "GeneID1007" 0 0 0 0
1008 "GeneID1008" 0 0 0 0
1009 "GeneID1009" 0 0 0 0
1010 "GeneID1010" 11 9 0 0
1011 "GeneID1011" 0 0 0 0
1012 "GeneID1012" 3 2 0 0
1013 "GeneID1013" 0 0 0 0
1014 "GeneID1014" 0 0 0 0
1015 "GeneID1015" 0 0 0 0
1016 "GeneID1016" 0 0 0 0
1017 "GeneID1017" 0 0 0 0
1018 "GeneID1018" 0 0 0 0
1019 "GeneID1019" 0 0 0 0
1020 "GeneID1020" 0 0 0 0
1021 "GeneID1021" 0 0 0 0
1022 "GeneID1022" 0 0 0 0
1023 "GeneID1023" 0 0 0 0
1024 "GeneID1024" 0 0 0 0
1025 "GeneID1025" 0 0 0 0
1026 "GeneID1026" 0 0 0 0
1027 "GeneID1027" 0 0 0 0
1028 "GeneID1028" 0 0 0 0
1029 "GeneID1029" 0 0 0 0
1030 "GeneID1030" 0 0 0 0
1031 "GeneID1031" 0 0 0 0
1032 "GeneID1032" 0 0 0 0
1033 "GeneID1033" 0 0 0 0
1034 "GeneID1034" 0 0 0 0
1035 "GeneID1035" 0 0 0 0
1036 "GeneID1036" 0 0 0 0
1037 "GeneID1037" 0 0 0 0
1038 "GeneID1038" 0 0 0 0
1039 "GeneID1039" 0 0 0 0
1040 "GeneID1040" 0 0 0 0
1041 "GeneID1041" 0 0 0 0
1042 "GeneID1042" 0 0 0 0
1043 "GeneID1043" 0 0 0 0
1044 "GeneID1044" 0 0 0 0
1045 "GeneID1045" 0 0 0 0
1046 "GeneID1046" 0 0 0 0
1047 "GeneID1047" 0 0 0 0
1048 "GeneID1048" 0 0 0 0
1049 "GeneID1049" 0 0 0 0
1050 "GeneID1050" 0 0 0 0
1051 "GeneID1051" 0 0 0 0
1052 "GeneID1052" 0 0 0 0
1053 "GeneID1053" 0 0 0 0
1054 "GeneID1054" 0 0 0 0
1055 "GeneID1055" 0 0 0 0
1056 "GeneID1056" 0 0 0 0
1057 "GeneID1057" 0 0 0 0
1058 "GeneID1058" 0 0 0 0
1059 "GeneID1059" 0 0 0 0
1060 "GeneID1060" 0 0 0 0
1061 "GeneID1061" 0 0 0 0
1062 "GeneID1062" 0 0 0 0
1063 "GeneID1063" 0 0 0 0
1064 "GeneID1064" 0 0 0 0
1065 "GeneID1065" 0 0 0 0
1066 "GeneID1066" 0 0 0 0
1067 "GeneID1067" 0 0 0 0
1068 "GeneID1068" 0 0 0 0
1069 "GeneID1069" 0 0 0 0
1070 "GeneID1070" 0 0 0 0
1071 "GeneID1071" 0 0 0 0
1072 "GeneID1072" 0 0 0 0
1073 "GeneID1073" 0 0 0 0
1074 "GeneID1074" 0 0 0 0
1075 "GeneID1075" 0 0 0 0
1076 "GeneID1076" 0 0 0 0
1077 "GeneID1077" 0 0 0 0
1078 "GeneID1078" 0 0 0 0
1079 "GeneID1079" 0 0 0 0
1080 "GeneID1080" 0 0 0 0
1081 "GeneID1081" 0 0 0 0
1082 "GeneID1082" 0 0 0 0
1083 "GeneID1083" 0 0 0 0
1084 "GeneID1084" 2 0 0 0
1085 "GeneID1085" 0 0 0 0
1086 "GeneID1086" 0 0 0 0
1087 "GeneID1087" 0 0 0 0
1088 "GeneID1088" 0 0 0 0
1089 "GeneID1089" 0 0 0 0
1090 "GeneID1090" 0 0 0 0
1091 "GeneID1091" 0 0 0 0
1092 "GeneID1092" 0 0 0 0
1093 "GeneID1093" 0 0 0 0
1094 "GeneID1094" 0 0 0 0
1095 "GeneID1095" 0 0 0 0
1096 "GeneID1096" 0 0 0 0
1097 "GeneID1097" 0 0 0 0
1098 "GeneID1098" 0 0 0 0
1099 "GeneID1099" 0 0 0 0
1100 "GeneID1100" 0 0 0 0
1101 "GeneID1101" 0 0 0 0
1102 "GeneID1102" 0 0 0 0
1103 "GeneID1103" 0 0 0 0
1104 "GeneID1104" 3 2 0 0
1105 "GeneID1105" 0 0 0 0
1106 "GeneID1106" 0 0 0 0
1107 "GeneID1107" 0 0 0 0
1108 "GeneID1108" 0 0 0 0
1109 "GeneID1109" 3 7 0 0
1110 "GeneID1110" 0 0 0 0
1111 "GeneID1111" 77 45 3 1
1112 "GeneID1112" 3 5 0 0
1113 "GeneID1113" 0 0 0 0
1114 "GeneID1114" 0 0 0 0
1115 "GeneID1115" 0 0 0 0
1116 "GeneID1116" 0 0 0 0
1117 "GeneID1117" 0 0 0 0
1118 "GeneID1118" 18 13 0 0
1119 "GeneID1119" 0 0 0 0
1120 "GeneID1120" 0 0 0 0
1121 "GeneID1121" 0 0 0 0
1122 "GeneID1122" 0 0 0 0
1123 "GeneID1123" 0 0 0 0
1124 "GeneID1124" 1 0 0 1
1125 "GeneID1125" 0 0 0 0
1126 "GeneID1126" 2 4 0 0
1127 "GeneID1127" 17 12 6 10
1128 "GeneID1128" 0 0 0 0
1129 "GeneID1129" 0 0 0 0
1130 "GeneID1130" 0 0 0 0
1131 "GeneID1131" 0 0 0 0
1132 "GeneID1132" 0 0 0 0
1133 "GeneID1133" 0 0 0 0
1134 "GeneID1134" 0 0 0 0
1135 "GeneID1135" 0 0 0 0
1136 "GeneID1136" 24 22 0 0
1137 "GeneID1137" 3455 2871 50 44
1138 "GeneID1138" 48 24 1 1
1139 "GeneID1139" 7 4 0 0
1140 "GeneID1140" 40 33 0 0
1141 "GeneID1141" 2 1 0 0
1142 "GeneID1142" 3233 3542 84 74
1143 "GeneID1143" 0 1 0 0
1144 "GeneID1144" 0 0 0 0
1145 "GeneID1145" 55 21 0 0
1146 "GeneID1146" 1 0 0 0
1147 "GeneID1147" 10 6 0 0
1148 "GeneID1148" 1202 1244 10 5
1149 "GeneID1149" 15 7 0 0
1150 "GeneID1150" 0 0 0 0
1151 "GeneID1151" 0 0 0 0
1152 "GeneID1152" 18 15 1 0
1153 "GeneID1153" 0 0 0 0
1154 "GeneID1154" 0 0 0 0
1155 "GeneID1155" 0 0 0 0
1156 "GeneID1156" 34 43 0 0
1157 "GeneID1157" 0 1 0 0
1158 "GeneID1158" 20 14 0 0
1159 "GeneID1159" 1 4 0 0
1160 "GeneID1160" 22 24 0 0
1161 "GeneID1161" 1 0 0 0
1162 "GeneID1162" 3721 3272 37 54
1163 "GeneID1163" 15 10 1 2
1164 "GeneID1164" 77 73 4 3
1165 "GeneID1165" 31 23 0 1
1166 "GeneID1166" 0 0 0 0
1167 "GeneID1167" 0 0 0 0
1168 "GeneID1168" 4 9 1 2
1169 "GeneID1169" 195 173 26 32
1170 "GeneID1170" 0 0 0 0
1171 "GeneID1171" 0 0 0 0
1172 "GeneID1172" 0 0 0 0
1173 "GeneID1173" 0 0 0 0
1174 "GeneID1174" 0 0 0 0
1175 "GeneID1175" 0 0 0 0
1176 "GeneID1176" 308 252 14 12
1177 "GeneID1177" 1178 976 61 21
1178 "GeneID1178" 1 0 0 0
1179 "GeneID1179" 0 0 0 0
1180 "GeneID1180" 296 444 18 17
1181 "GeneID1181" 1 0 0 0
1182 "GeneID1182" 0 0 0 0
1183 "GeneID1183" 0 0 0 0
1184 "GeneID1184" 0 0 0 0
1185 "GeneID1185" 15 14 0 0
1186 "GeneID1186" 0 0 0 0
1187 "GeneID1187" 0 0 0 0
1188 "GeneID1188" 0 0 0 0
1189 "GeneID1189" 0 0 0 0
1190 "GeneID1190" 0 0 0 0
1191 "GeneID1191" 0 0 0 0
1192 "GeneID1192" 0 0 0 0
1193 "GeneID1193" 0 0 0 0
1194 "GeneID1194" 0 0 0 0
1195 "GeneID1195" 0 0 0 0
1196 "GeneID1196" 0 0 0 0
1197 "GeneID1197" 0 0 0 0
1198 "GeneID1198" 0 0 0 0
1199 "GeneID1199" 0 0 0 0
1200 "GeneID1200" 0 0 0 0
1201 "GeneID1201" 0 0 0 0
1202 "GeneID1202" 0 1 1 0
1203 "GeneID1203" 0 0 0 0
1204 "GeneID1204" 0 0 0 0
1205 "GeneID1205" 1 0 0 1
1206 "GeneID1206" 0 0 0 0
1207 "GeneID1207" 0 0 0 0
1208 "GeneID1208" 0 0 0 0
1209 "GeneID1209" 0 0 0 0
1210 "GeneID1210" 0 0 0 0
1211 "GeneID1211" 0 0 0 0
1212 "GeneID1212" 0 0 0 0
1213 "GeneID1213" 0 0 0 0
1214 "GeneID1214" 0 0 0 0
1215 "GeneID1215" 0 1 0 0
1216 "GeneID1216" 0 0 0 0
1217 "GeneID1217" 0 0 0 0
1218 "GeneID1218" 0 0 0 0
1219 "GeneID1219" 0 0 0 0
1220 "GeneID1220" 1 0 0 0
1221 "GeneID1221" 0 0 0 0
1222 "GeneID1222" 0 0 0 0
1223 "GeneID1223" 0 0 0 0
1224 "GeneID1224" 0 0 0 0
1225 "GeneID1225" 0 0 0 1
1226 "GeneID1226" 0 0 0 0
1227 "GeneID1227" 0 1 0 0
1228 "GeneID1228" 0 0 0 0
1229 "GeneID1229" 3 4 0 0
1230 "GeneID1230" 0 0 0 0
1231 "GeneID1231" 0 0 0 0
1232 "GeneID1232" 0 0 0 0
1233 "GeneID1233" 0 0 0 1
1234 "GeneID1234" 0 1 0 0
1235 "GeneID1235" 2 0 0 0
1236 "GeneID1236" 0 0 0 0
1237 "GeneID1237" 1 1 0 0
1238 "GeneID1238" 0 1 0 0
1239 "GeneID1239" 0 0 0 0
1240 "GeneID1240" 3 0 0 0
1241 "GeneID1241" 0 0 0 0
1242 "GeneID1242" 0 0 0 0
1243 "GeneID1243" 0 0 0 0
1244 "GeneID1244" 1 0 0 0
1245 "GeneID1245" 0 0 0 0
1246 "GeneID1246" 0 0 0 0
1247 "GeneID1247" 0 0 0 0
1248 "GeneID1248" 0 0 0 0
1249 "GeneID1249" 0 0 0 0
1250 "GeneID1250" 0 0 0 0
1251 "GeneID1251" 0 0 0 0
1252 "GeneID1252" 0 0 0 0
1253 "GeneID1253" 0 1 0 1
1254 "GeneID1254" 0 0 0 0
1255 "GeneID1255" 0 0 0 0
1256 "GeneID1256" 0 0 0 0
1257 "GeneID1257" 0 3 0 0
1258 "GeneID1258" 0 0 0 0
1259 "GeneID1259" 0 0 0 0
1260 "GeneID1260" 0 0 0 0
1261 "GeneID1261" 0 2 0 0
1262 "GeneID1262" 0 0 0 0
1263 "GeneID1263" 0 0 0 0
1264 "GeneID1264" 0 0 0 0
1265 "GeneID1265" 0 0 0 0
1266 "GeneID1266" 0 0 0 0
1267 "GeneID1267" 0 0 0 0
1268 "GeneID1268" 0 1 0 0
1269 "GeneID1269" 0 0 0 0
1270 "GeneID1270" 0 0 0 0
1271 "GeneID1271" 0 0 0 0
1272 "GeneID1272" 0 1 0 0
1273 "GeneID1273" 0 0 1 0
1274 "GeneID1274" 0 0 0 0
1275 "GeneID1275" 0 0 0 0
1276 "GeneID1276" 0 0 0 0
1277 "GeneID1277" 1 0 0 0
1278 "GeneID1278" 0 0 0 0
1279 "GeneID1279" 0 0 0 0
1280 "GeneID1280" 0 0 0 0
1281 "GeneID1281" 1 5 0 1
1282 "GeneID1282" 4 3 0 0
1283 "GeneID1283" 0 1 0 0
1284 "GeneID1284" 0 0 0 0
1285 "GeneID1285" 0 0 0 0
1286 "GeneID1286" 0 0 0 0
1287 "GeneID1287" 0 0 0 0
1288 "GeneID1288" 5 3 0 0
1289 "GeneID1289" 0 0 0 0
1290 "GeneID1290" 0 0 0 0
1291 "GeneID1291" 2 2 0 0
1292 "GeneID1292" 0 0 0 0
1293 "GeneID1293" 0 0 0 0
1294 "GeneID1294" 0 0 0 0
1295 "GeneID1295" 0 0 0 0
1296 "GeneID1296" 0 0 0 0
1297 "GeneID1297" 0 0 0 0
1298 "GeneID1298" 1 1 1 1
1299 "GeneID1299" 10 8 0 3
1300 "GeneID1300" 0 0 1 0
1301 "GeneID1301" 1 0 1 1
1302 "GeneID1302" 1 1 0 0
1303 "GeneID1303" 0 0 0 0
1304 "GeneID1304" 1 1 0 0
1305 "GeneID1305" 0 0 0 0
1306 "GeneID1306" 0 2 0 0
1307 "GeneID1307" 0 0 0 0
1308 "GeneID1308" 0 0 0 0
1309 "GeneID1309" 0 0 0 0
1310 "GeneID1310" 0 0 0 0
1311 "GeneID1311" 0 0 0 0
1312 "GeneID1312" 0 0 0 0
1313 "GeneID1313" 0 0 0 0
1314 "GeneID1314" 0 0 0 0
1315 "GeneID1315" 0 2 0 0
1316 "GeneID1316" 1 1 1 0
1317 "GeneID1317" 0 0 0 0
1318 "GeneID1318" 1 1 0 0
1319 "GeneID1319" 0 0 0 0
1320 "GeneID1320" 0 1 0 0
1321 "GeneID1321" 0 0 0 0
1322 "GeneID1322" 1 0 0 0
1323 "GeneID1323" 0 0 0 0
1324 "GeneID1324" 3 1 0 0
1325 "GeneID1325" 0 0 0 0
1326 "GeneID1326" 0 0 0 0
1327 "GeneID1327" 0 0 0 0
1328 "GeneID1328" 2 1 0 0
1329 "GeneID1329" 0 0 0 1
1330 "GeneID1330" 0 0 0 0
1331 "GeneID1331" 2 6 0 0
1332 "GeneID1332" 0 0 0 0
1333 "GeneID1333" 0 0 0 0
1334 "GeneID1334" 5 9 0 1
1335 "GeneID1335" 0 0 0 0
1336 "GeneID1336" 0 0 0 0
1337 "GeneID1337" 0 0 0 0
1338 "GeneID1338" 0 1 0 0
1339 "GeneID1339" 0 0 0 0
1340 "GeneID1340" 1 0 1 0
1341 "GeneID1341" 0 0 0 0
1342 "GeneID1342" 0 0 0 0
1343 "GeneID1343" 0 1 0 0
1344 "GeneID1344" 0 0 0 0
1345 "GeneID1345" 0 0 0 0
1346 "GeneID1346" 1 0 0 0
1347 "GeneID1347" 4 2 2 1
1348 "GeneID1348" 6 3 0 2
1349 "GeneID1349" 1 0 0 0
1350 "GeneID1350" 0 0 0 0
1351 "GeneID1351" 0 0 0 0
1352 "GeneID1352" 0 0 0 0
1353 "GeneID1353" 0 0 0 0
1354 "GeneID1354" 0 0 0 0
1355 "GeneID1355" 0 1 0 0
1356 "GeneID1356" 1 0 0 0
1357 "GeneID1357" 0 0 0 0
1358 "GeneID1358" 0 0 0 0
1359 "GeneID1359" 0 0 0 0
1360 "GeneID1360" 0 0 0 0
1361 "GeneID1361" 0 0 0 0
1362 "GeneID1362" 0 0 0 0
1363 "GeneID1363" 0 0 0 0
1364 "GeneID1364" 0 0 0 0
1365 "GeneID1365" 0 0 0 0
1366 "GeneID1366" 0 0 1 0
1367 "GeneID1367" 0 0 0 0
1368 "GeneID1368" 0 0 0 0
1369 "GeneID1369" 0 0 1 0
1370 "GeneID1370" 0 0 0 0
1371 "GeneID1371" 0 0 0 0
1372 "GeneID1372" 0 0 0 0
1373 "GeneID1373" 0 0 0 0
1374 "GeneID1374" 0 1 0 0
1375 "GeneID1375" 0 0 0 0
1376 "GeneID1376" 0 0 0 0
1377 "GeneID1377" 0 1 0 0
1378 "GeneID1378" 0 0 0 0
1379 "GeneID1379" 0 0 0 0
1380 "GeneID1380" 0 0 0 0
1381 "GeneID1381" 0 0 0 0
1382 "GeneID1382" 0 0 0 0
1383 "GeneID1383" 0 0 0 0
1384 "GeneID1384" 0 0 0 0
1385 "GeneID1385" 0 0 0 0
1386 "GeneID1386" 0 0 0 0
1387 "GeneID1387" 0 0 0 0
1388 "GeneID1388" 0 0 0 0
1389 "GeneID1389" 0 0 0 0
1390 "GeneID1390" 0 0 0 0
1391 "GeneID1391" 3 0 0 1
1392 "GeneID1392" 0 0 0 0
1393 "GeneID1393" 0 1 1 0
1394 "GeneID1394" 4 4 0 0
1395 "GeneID1395" 0 0 0 0
1396 "GeneID1396" 3 1 0 1
1397 "GeneID1397" 0 1 0 0
1398 "GeneID1398" 0 0 0 0
1399 "GeneID1399" 1 0 1 0
1400 "GeneID1400" 0 0 0 0
1401 "GeneID1401" 0 1 1 0
1402 "GeneID1402" 0 0 0 0
1403 "GeneID1403" 0 0 0 0
1404 "GeneID1404" 0 1 0 0
1405 "GeneID1405" 0 0 0 0
1406 "GeneID1406" 0 0 0 0
1407 "GeneID1407" 0 0 0 0
1408 "GeneID1408" 0 0 0 0
1409 "GeneID1409" 0 0 1 0
1410 "GeneID1410" 0 0 0 0
1411 "GeneID1411" 0 3 0 0
1412 "GeneID1412" 0 0 0 0
1413 "GeneID1413" 0 1 0 0
1414 "GeneID1414" 0 2 0 0
1415 "GeneID1415" 0 0 0 0
1416 "GeneID1416" 0 0 0 0
1417 "GeneID1417" 0 0 0 0
1418 "GeneID1418" 354 287 4 4
1419 "GeneID1419" 1 7 0 0
1420 "GeneID1420" 0 0 0 0
1421 "GeneID1421" 0 0 0 0
1422 "GeneID1422" 0 0 0 0
1423 "GeneID1423" 0 0 0 0
1424 "GeneID1424" 0 0 0 0
1425 "GeneID1425" 0 1 0 0
1426 "GeneID1426" 0 0 0 0
1427 "GeneID1427" 1 0 1 0
1428 "GeneID1428" 0 0 0 0
1429 "GeneID1429" 0 0 0 0
1430 "GeneID1430" 0 0 0 0
1431 "GeneID1431" 1 0 0 0
1432 "GeneID1432" 0 0 0 0
1433 "GeneID1433" 0 0 0 1
1434 "GeneID1434" 0 0 0 0
1435 "GeneID1435" 0 0 0 0
1436 "GeneID1436" 0 0 0 0
1437 "GeneID1437" 0 0 0 0
1438 "GeneID1438" 0 0 0 0
1439 "GeneID1439" 0 3 0 1
1440 "GeneID1440" 0 0 0 0
1441 "GeneID1441" 0 0 0 0
1442 "GeneID1442" 0 0 0 0
1443 "GeneID1443" 0 0 0 0
1444 "GeneID1444" 0 0 0 0
1445 "GeneID1445" 0 0 0 0
1446 "GeneID1446" 0 0 0 0
1447 "GeneID1447" 1 0 0 0
1448 "GeneID1448" 0 1 0 0
1449 "GeneID1449" 0 2 0 0
1450 "GeneID1450" 0 0 0 0
1451 "GeneID1451" 1 0 0 0
1452 "GeneID1452" 2 3 0 0
1453 "GeneID1453" 0 0 0 0
1454 "GeneID1454" 0 0 0 0
1455 "GeneID1455" 1 0 0 0
1456 "GeneID1456" 0 0 0 0
1457 "GeneID1457" 0 0 1 0
1458 "GeneID1458" 0 1 0 0
1459 "GeneID1459" 0 0 0 0
1460 "GeneID1460" 0 0 0 0
1461 "GeneID1461" 0 0 0 0
1462 "GeneID1462" 10 9 2 2
1463 "GeneID1463" 2 3 5 8
1464 "GeneID1464" 0 0 0 0
1465 "GeneID1465" 0 0 0 0
1466 "GeneID1466" 0 0 0 0
1467 "GeneID1467" 1 1 1 0
1468 "GeneID1468" 0 0 0 0
1469 "GeneID1469" 0 0 0 0
1470 "GeneID1470" 0 0 0 0
1471 "GeneID1471" 0 0 0 0
1472 "GeneID1472" 0 1 0 0
1473 "GeneID1473" 0 0 0 0
1474 "GeneID1474" 0 0 0 0
1475 "GeneID1475" 0 0 0 0
1476 "GeneID1476" 0 0 0 0
1477 "GeneID1477" 2 0 0 0
1478 "GeneID1478" 2 2 0 0
1479 "GeneID1479" 0 0 0 0
1480 "GeneID1480" 1 0 0 0
1481 "GeneID1481" 0 0 0 0
1482 "GeneID1482" 0 1 0 0
1483 "GeneID1483" 0 0 0 0
